Title,Author_Institution
Comparison of apical and basolateral Cu treatment for iron-related gene regulation during deferoxamine induced iron deficiency,"[('Ezgi Evcan', 'https://www.researchgate.net/profile/Ezgi-Evcan', 'Izmir Institute of Technology', 'https://www.researchgate.net/institution/Izmir_Institute_of_Technology'), ('Sukru Gulec', 'https://www.researchgate.net/profile/Sukru-Gulec', 'Izmir Institute of Technology', 'https://www.researchgate.net/institution/Izmir_Institute_of_Technology')]"
Detecting clusters of transcription factors based on a nonhomogeneous poisson process model,"[('Xiaowei Wu', 'https://www.researchgate.net/scientific-contributions/Xiaowei-Wu-2238123479', ' ', ' '), ('Shicheng Liu', 'https://www.researchgate.net/scientific-contributions/Shicheng-Liu-2238120202', ' ', ' '), ('Guanying Liang', 'https://www.researchgate.net/scientific-contributions/Guanying-Liang-2238128531', ' ', ' ')]"
A cohesin traffic pattern genetically linked to gene regulation,"[('Anne-Laure Valton', 'https://www.researchgate.net/scientific-contributions/Anne-Laure-Valton-2103012833', ' ', ' '), ('Sergey V Venev', 'https://www.researchgate.net/profile/Sergey-Venev', 'University of Massachusetts Medical School', 'https://www.researchgate.net/institution/University-of-Massachusetts-Medical-School'), ('Barbara Mair', 'https://www.researchgate.net/profile/Barbara-Mair-2', 'Boehringer Ingelheim', 'https://www.researchgate.net/institution/Boehringer_Ingelheim2'), ('Eraj Shafiq Khokhar', 'https://www.researchgate.net/scientific-contributions/Eraj-Khokhar-2198946580', ' ', ' ')]"
Targeted deep sequencing analyses of long QT syndrome in a Japanese population,"[('Yuki Nagata', 'https://www.researchgate.net/scientific-contributions/Yuki-Nagata-2190241190', ' ', ' '), ('Ryo Watanabe', 'https://www.researchgate.net/scientific-contributions/Ryo-Watanabe-2157308119', ' ', ' '), ('Christian Eichhorn', 'https://www.researchgate.net/scientific-contributions/Christian-Eichhorn-2238040429', ' ', ' '), ('Seiko Ohno', 'https://www.researchgate.net/profile/Seiko-Ohno', 'National Cerebral and Cardiovascular Center', 'https://www.researchgate.net/institution/National-Cerebral-and-Cardiovascular-Center')]"
Single-Cell RNA Sequencing of the Testis of Ciona intestinalis Reveals the Dynamic Transcriptional Profile of Spermatogenesis in Protochordates,"[('Yanan Li', 'https://www.researchgate.net/scientific-contributions/Yanan-Li-2238035012', ' ', ' '), ('Xiang Liu', 'https://www.researchgate.net/scientific-contributions/Xiang-Liu-2214528686', ' ', ' '), ('Xianghui Zhang', 'https://www.researchgate.net/scientific-contributions/Xianghui-Zhang-2214513622', ' ', ' '), ('Hongyan Wang', 'https://www.researchgate.net/scientific-contributions/Hongyan-Wang-2238054401', ' ', ' ')]"
Regulation of Normal and Neoplastic Proliferation and Metabolism by the Extended Myc Network,"[('Edward V. Prochownik', 'https://www.researchgate.net/scientific-contributions/Edward-V-Prochownik-40092969', ' ', ' ')]"
Proteomic profiling of serum identifies a molecular signature that correlates with clinical outcomes in COPD,"[('Rania Dagher', 'https://www.researchgate.net/scientific-contributions/Rania-Dagher-2198538514', ' ', ' '), ('Paul Fogel', 'https://www.researchgate.net/scientific-contributions/Paul-Fogel-2238046197', ' ', ' '), ('Jingya Wang', 'https://www.researchgate.net/scientific-contributions/Jingya-Wang-2098706720', ' ', ' '), ('David Soussan', 'https://www.researchgate.net/scientific-contributions/David-Soussan-2132096813', ' ', ' ')]"
HAPLN1 confers multiple myeloma cell resistance to several classes of therapeutic drugs,"[('Mailee Huynh', 'https://www.researchgate.net/scientific-contributions/Mailee-Huynh-2136924117', ' ', ' '), ('Hae Yeun Chang', 'https://www.researchgate.net/scientific-contributions/Hae-Yeun-Chang-2238052920', ' ', ' '), ('Dominique N. Lisiero', 'https://www.researchgate.net/scientific-contributions/Dominique-N-Lisiero-2157608724', ' ', ' '), ('Irene M. Ong', 'https://www.researchgate.net/scientific-contributions/Irene-M-Ong-34276573', ' ', ' ')]"
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
Arterial dissections: Common features and new perspectives,"[('Monique C Bax', 'https://www.researchgate.net/profile/Monique-Bax', 'Victor Chang Cardiac Research Institute', 'https://www.researchgate.net/institution/Victor_Chang_Cardiac_Research_Institute'), ('Valentin Romanov', 'https://www.researchgate.net/scientific-contributions/Valentin-Romanov-2237768362', ' ', ' '), ('Keerat Junday', 'https://www.researchgate.net/profile/Keerat-Junday', 'Victor Chang Cardiac Research Institute', 'https://www.researchgate.net/institution/Victor_Chang_Cardiac_Research_Institute'), ('Eleni Giannoulatou', 'https://www.researchgate.net/profile/Eleni-Giannoulatou', 'Victor Chang Cardiac Research Institute', 'https://www.researchgate.net/institution/Victor_Chang_Cardiac_Research_Institute')]"
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
T Cell-Mediated Tumor Killing-Related Classification of the Immune Microenvironment and Prognosis Prediction of Lung Adenocarcinoma,"[('Peng Ding', 'https://www.researchgate.net/scientific-contributions/Peng-Ding-2230254455', ' ', ' '), ('Lichao Liu', 'https://www.researchgate.net/scientific-contributions/Lichao-Liu-2236842733', ' ', ' '), ('Yawen Bin', 'https://www.researchgate.net/scientific-contributions/Yawen-Bin-2220644232', ' ', ' '), ('Yu Huang', 'https://www.researchgate.net/scientific-contributions/Yu-Huang-2155092047', ' ', ' ')]"
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
CircRNA PVT1 modulated cell migration and invasion through Epithelial-Mesenchymal Transition (EMT) mediation in gastric cancer through miR-423-5p/Smad3 pathway,"[('Huanqin Li', 'https://www.researchgate.net/scientific-contributions/Huanqin-Li-2153407949', ' ', ' '), ('Shuai Xue', 'https://www.researchgate.net/scientific-contributions/Shuai-Xue-2212888291', ' ', ' '), ('Xiaohong Zhang', 'https://www.researchgate.net/scientific-contributions/Xiaohong-Zhang-2147639019', ' ', ' '), ('Fan Li', 'https://www.researchgate.net/scientific-contributions/Fan-Li-2147620599', ' ', ' ')]"
NotFound,[]
NotFound,[]
Transcriptomics and gas chromatography-mass spectrometry metabolomics reveal the mechanism of heat shock combined with 1-methylcyclopropene to regulate the cuticle wax of jujube fruit during storage,"[('Ge Shuai', 'https://www.researchgate.net/profile/Ge-Shuai-2', 'Hunan University', 'https://www.researchgate.net/institution/Hunan-University'), ('Rongrong Wang', 'https://www.researchgate.net/profile/Rongrong-Wang-8', 'Hunan Agricultural University', 'https://www.researchgate.net/institution/Hunan-Agricultural-University'), ('Lvzhu Yang', 'https://www.researchgate.net/scientific-contributions/Lvzhu-Yang-2164671887', ' ', ' '), ('Hui Kong', 'https://www.researchgate.net/scientific-contributions/Hui-Kong-2204976924', ' ', ' ')]"
Insights into the expression of DNA (de)methylation genes responsive to nitric oxide signaling in potato resistance to late blight disease,"[('Andżelika Drozda', 'https://www.researchgate.net/profile/Andzelika-Drozda-2', 'Poznań University of Life Sciences', 'https://www.researchgate.net/institution/Poznan_University_of_Life_Sciences'), ('Barbara Kurpisz', 'https://www.researchgate.net/profile/Barbara-Kurpisz', ' ', ' '), ('Yufeng Guan', 'https://www.researchgate.net/profile/Yufeng-Guan-5', 'Adam Mickiewicz University', 'https://www.researchgate.net/institution/Adam_Mickiewicz_University'), ('Magdalena Arasimowicz-Jelonek', 'https://www.researchgate.net/profile/Magdalena-Arasimowicz-Jelonek', 'Adam Mickiewicz University', 'https://www.researchgate.net/institution/Adam_Mickiewicz_University')]"
NotFound,[]
NotFound,[]
NotFound,[]
SIRT1 mediates nutritional regulation of SREBP-1c-driven hepatic PNPLA3 transcription via modulation of H3k9 acetylation,"[('Xiao Xu', 'https://www.researchgate.net/scientific-contributions/XIAO-XU-2158272086', ' ', ' '), ('Xiaojie Deng', 'https://www.researchgate.net/scientific-contributions/Xiaojie-Deng-2222362608', ' ', ' '), ('Yunzhi Chen', 'https://www.researchgate.net/scientific-contributions/YUNZHI-CHEN-2167453627', ' ', ' '), ('Wen Xu', 'https://www.researchgate.net/scientific-contributions/WEN-XU-2203098814', ' ', ' ')]"
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
NotFound,[]
Adapted laboratory evolution of Thermotoga sp. strain RQ7 under carbon starvation,"[('Jyotshana Gautam', 'https://www.researchgate.net/profile/Jyotshana-Gautam', 'Bowling Green State University', 'https://www.researchgate.net/institution/Bowling_Green_State_University'), ('Hui Xu', 'https://www.researchgate.net/profile/Hui-Xu-56', 'East Carolina University', 'https://www.researchgate.net/institution/East-Carolina-University'), ('Junxi Hu', 'https://www.researchgate.net/scientific-contributions/Junxi-Hu-2163757200', ' ', ' '), ('Christa Pennacchio', 'https://www.researchgate.net/scientific-contributions/Christa-Pennacchio-2004484605', ' ', ' ')]"
NotFound,[]
